id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
221067,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 4 June 1992 ""COLOMBIAN REBELS KILL SIX, BOMB POLICE POSTS.",,,,Police spokesman,1,Villa Carmelo town,Valle del Cauca  department,Cali municipality,3.37837,-76.61633,POINT (-76.616330 3.378370),134127,Colombia,100,COL,Americas,1,1,1992-06-02,1992-06-02,2,0,0,0,2,2,2
221090,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 12 June 1992 ""COLOMBIAN REBELS ATTACK SOON AFTER MAJOR'S VISIT.",,,,Police spokesman,2,Yopal town,Casanare department,Yopal municipality,5.33775,-72.39586,POINT (-72.395860 5.337750),137016,Colombia,100,COL,Americas,1,1,1992-06-11,1992-06-11,4,0,0,0,4,4,4
221099,1992,1,1992,1992,1,289,Colombia: Government,624,Government of Colombia - ELN,17,100.0,Government of Colombia,744,,ELN,-1,"Reuters 22 July 1992 ""THIRTEEN DIE IN COLOMBIAN GUERRILLA VIOLENCE",,,,Militarry sources,2,Pueblo Rico town,Risaralda department,Pueblo Rico municipality,5.238333,-76.036389,POINT (-76.036389 5.238333),137008,Colombia,100,COL,Americas,1,1,1992-07-20,1992-07-20,3,0,0,0,3,3,3
221100,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 22 July 1992 ""THIRTEEN DIE IN COLOMBIAN GUERRILLA VIOLENCE",,,,Military sources,6,Colombia,,,4.0,-72.0,POINT (-72.000000 4.000000),135577,Colombia,100,COL,Americas,2,2,1992-07-20,1992-07-22,2,8,0,0,10,10,10
221103,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 18 Aug 1992 ""COLOMBIAN GUERRILLAS KILL SIX POLICEMEN IN ATTACK ON TOWN.",,,,Military spokesman,6,Colombia,,,4.0,-72.0,POINT (-72.000000 4.000000),135577,Colombia,100,COL,Americas,1,1,1992-08-17,1992-08-17,0,12,0,0,12,12,12
221105,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 18 Aug 1992 ""COLOMBIAN GUERRILLAS KILL SIX POLICEMEN IN ATTACK ON TOWN.",,,,Police spokesman,1,El Calvario town,Meta department,El Calvario municipality,4.35342,-73.71147,POINT (-73.711470 4.353420),135573,Colombia,100,COL,Americas,1,1,1992-08-17,1992-08-17,6,0,2,0,8,8,8
219709,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 21 Sep 1992 ""Three police, 15 guerrillas, die in Colombia clashes",,,,Police spokesman,4,Antioquia department,Antioquia department,,7.0,-75.5,POINT (-75.500000 7.000000),139890,Colombia,100,COL,Americas,2,2,1992-09-19,1992-09-20,0,4,0,0,3,4,3
227352,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 21 Sep 1992 ""Three police, 15 guerrillas, die in Colombia clashes",,,,Police spokesman,4,Córdoba department,Córdoba department,,8.333333,-75.666667,POINT (-75.666667 8.333333),141329,Colombia,100,COL,Americas,2,2,1992-09-19,1992-09-20,0,3,0,0,3,3,4
227353,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 21 Sep 1992 ""Three police, 15 guerrillas, die in Colombia clashes",,,,Police spokesman,4,Cundinamarca department,Cundinamarca department,,5.0,-74.166667,POINT (-74.166667 5.000000),137012,Colombia,100,COL,Americas,2,2,1992-09-19,1992-09-20,0,3,0,0,4,3,3
227354,1992,1,1992,1992,1,289,Colombia: Government,623,Government of Colombia - FARC,17,100.0,Government of Colombia,743,,FARC,-1,"Reuters 21 Sep 1992 ""Three police, 15 guerrillas, die in Colombia clashes",,,,Police spokesman,4,Meta department,Meta department,,3.5,-73.0,POINT (-73.000000 3.500000),134855,Colombia,100,COL,Americas,2,2,1992-09-19,1992-09-20,0,3,0,0,3,3,3
